name,job_title,industry,ai_replacement_risk,salary,years_of_experience,city,ai_tool_threat,salary_group,experience_level,work_type
Heather Sullivan,Marketing Manager,Media & Marketing,3,131290,31,Boston,ChatGPT,High,Veteran,In-Office
Crystal Wall,Lawyer,Legal,1,80546,9,New York,Harvey,Medium,Mid,In-Office
Deborah Rose,Data Analyst,Finance,3,44369,3,Chicago,ChatGPT,Low,Mid,In-Office
Jennifer Rodriguez,Data Analyst,Media & Marketing,3,131891,23,Chicago,Claude,High,Senior,In-Office
Charles Green,Software Engineer,Tech,4,76558,13,Seattle,ChatGPT,Medium,Senior,In-Office
Mercedes Robles,Software Engineer,Tech,2,132707,2,San Francisco,Github Copilot,High,Entry,In-Office
Angela Reese,Financial Analyst,Healthcare,2,70242,22,Remote,ChatGPT,Medium,Senior,Remote
Evan Haney,Teacher,Education,1,76911,15,Boston,Google Gemini,Medium,Senior,In-Office
Sean Melton,Paralegal,Legal,2,131248,21,San Francisco,Claude,High,Senior,In-Office
Maria Hartman,Software Engineer,Tech,3,40168,30,Chicago,ChatGPT,Low,Veteran,In-Office
Jason Sullivan,Paralegal,Legal,2,125878,13,San Francisco,DoNotPay,High,Senior,In-Office
Angela Smith,Lawyer,Legal,1,44214,10,New York,Claude,Low,Senior,In-Office
Julie Campbell,Nurse,Healthcare,3,118343,5,Austin,MedpaLM,High,Mid,In-Office
Megan Smith,Radiologist,Healthcare,4,165726,10,San Francisco,Claude,Very High,Senior,In-Office
Wendy Baird,HR Manager,Human Resources,3,80310,19,Austin,Scribe AI,Medium,Senior,In-Office
Gregory Griffin,Data Analyst,Tech,4,111578,13,Chicago,Github Copilot,High,Senior,In-Office
Hannah Sanchez,Nurse,Healthcare,5,192093,14,San Francisco,Claude,Very High,Senior,In-Office
Dr. Crystal Mcdonald MD,HR Manager,Human Resources,5,122598,29,Austin,Scribe AI,High,Veteran,In-Office
Tonya Shepherd,Nurse,Healthcare,2,110799,34,Remote,Claude,High,Veteran,Remote
Justin Hayden,Financial Analyst,Finance,5,134796,16,Chicago,ChatGPT,High,Senior,In-Office
Stacie Porter,Data Analyst,Healthcare,2,105561,5,Remote,Github Copilot,High,Mid,Remote
David Elliott,Doctor,Healthcare,3,137720,32,New York,MedpaLM,High,Veteran,In-Office
Kurt Lindsey,HR Manager,Human Resources,1,194411,8,Seattle,Writer.com,Very High,Mid,In-Office
Anthony Cardenas,Lawyer,Legal,1,70648,17,Boston,Claude,Medium,Senior,In-Office
Ms. Megan Macdonald,Nurse,Healthcare,5,83189,2,Boston,Claude,Medium,Entry,In-Office
Jennifer Sexton,Nurse,Healthcare,2,191843,7,Seattle,Claude,Very High,Mid,In-Office
James Nelson,Technical Recruiter,Finance,2,153589,31,Chicago,Scribe AI,Very High,Veteran,In-Office
Jeremy Wheeler,Lawyer,Legal,1,104273,4,Seattle,Harvey,High,Mid,In-Office
Jennifer Beck,Data Analyst,Media & Marketing,1,186568,5,Chicago,Claude,Very High,Mid,In-Office
James Levine,Technical Recruiter,Human Resources,5,112140,34,Austin,ChatGPT,High,Veteran,In-Office
Steven Davis,HR Manager,Human Resources,2,163324,15,Chicago,Writer.com,Very High,Senior,In-Office
Mrs. Cassandra Hurley,Financial Analyst,Finance,3,123998,6,San Francisco,ChatGPT,High,Mid,In-Office
Katelyn Everett,Copywriter,Media & Marketing,1,58209,13,Austin,ChatGPT,Low,Senior,In-Office
Erica Edwards,Lawyer,Legal,3,181780,12,Boston,Claude,Very High,Senior,In-Office
Katherine Rios,Marketing Manager,Media & Marketing,2,56304,14,Austin,ChatGPT,Low,Senior,In-Office
Sean Luna,Data Analyst,Media & Marketing,4,175238,12,Chicago,Claude,Very High,Senior,In-Office
Shari Saunders,HR Manager,Human Resources,1,195519,8,Chicago,Writer.com,Very High,Mid,In-Office
Jessica Cohen,Financial Analyst,Finance,5,129327,27,Remote,Perplexity AI,High,Veteran,Remote
Melissa Bailey,Doctor,Healthcare,1,133529,8,Chicago,Claude,High,Mid,In-Office
Cheryl Sims,Marketing Manager,Media & Marketing,5,80315,18,Remote,Writer.com,Medium,Senior,Remote
David Smith,Financial Analyst,Healthcare,4,125234,5,Remote,Perplexity AI,High,Mid,Remote
Brooke Goodman,Data Analyst,Healthcare,3,80875,15,Remote,Claude,Medium,Senior,Remote
Rachel Johnson,HR Manager,Human Resources,5,148639,24,Austin,ChatGPT,High,Senior,In-Office
Andrew Espinoza,Nurse,Healthcare,2,61298,20,Remote,Claude,Medium,Senior,Remote
Jasmine Hernandez,Customer Support Agent,Tech,5,58450,35,Chicago,Perplexity AI,Low,Veteran,In-Office
Holly Taylor,Software Engineer,Tech,1,72894,34,Seattle,ChatGPT,Medium,Veteran,In-Office
Jessica Cruz,Lawyer,Legal,5,100941,12,Remote,Harvey,High,Senior,Remote
Scott Anderson,Paralegal,Legal,1,126525,13,Austin,Claude,High,Senior,In-Office
Keith Banks,Teacher,Education,2,120284,1,Austin,ChatGPT,High,Entry,In-Office
James Collier Jr.,Teacher,Education,5,53540,7,Austin,Google Gemini,Low,Mid,In-Office
Thomas Wilkerson,Software Engineer,Tech,2,87713,9,Chicago,Github Copilot,Medium,Mid,In-Office
Sara Henry,Data Analyst,Tech,4,145672,34,Seattle,Github Copilot,High,Veteran,In-Office
Joshua Brown,Lawyer,Legal,3,97683,4,Austin,Harvey,Medium,Mid,In-Office
James Walker,Teacher,Education,3,130036,21,Remote,Google Gemini,High,Senior,Remote
Rose Garcia,Paralegal,Legal,3,158453,24,San Francisco,Harvey,Very High,Senior,In-Office
Kimberly Anderson,HR Manager,Human Resources,4,102071,18,Boston,ChatGPT,High,Senior,In-Office
Micheal Snyder,Data Analyst,Healthcare,1,157269,8,Chicago,Github Copilot,Very High,Mid,In-Office
Desiree Moore,Paralegal,Legal,1,188387,16,San Francisco,Harvey,Very High,Senior,In-Office
Elizabeth Parks,Copywriter,Media & Marketing,4,45857,10,Austin,Writer.com,Low,Senior,In-Office
Jasmin Randall,Technical Recruiter,Finance,3,57422,24,Chicago,Scribe AI,Low,Senior,In-Office
Sandra Wood,Financial Analyst,Finance,1,159730,10,Remote,ChatGPT,Very High,Senior,Remote
Kelsey Harper,Radiologist,Healthcare,4,156989,7,San Francisco,MedpaLM,Very High,Mid,In-Office
Brandy Beard,Doctor,Healthcare,3,122633,16,Austin,Claude,High,Senior,In-Office
Sharon Lucas,Doctor,Healthcare,5,133662,11,Seattle,MedpaLM,High,Senior,In-Office
Billy Johnson,Teacher,Education,2,154549,18,Chicago,Google Gemini,Very High,Senior,In-Office
Cole Ramirez MD,Nurse,Healthcare,5,54704,31,New York,Claude,Low,Veteran,In-Office
William Woods,HR Manager,Human Resources,3,109778,1,Chicago,Writer.com,High,Entry,In-Office
Glenn Morris,Marketing Manager,Media & Marketing,4,161875,0,New York,Writer.com,Very High,Entry,In-Office
Thomas Owens,Financial Analyst,Healthcare,3,109260,6,New York,ChatGPT,High,Mid,In-Office
Mark Campbell,Technical Recruiter,Healthcare,3,69875,12,Seattle,Scribe AI,Medium,Senior,In-Office
Anthony Page,HR Manager,Human Resources,4,70745,17,Boston,Scribe AI,Medium,Senior,In-Office
Benjamin Skinner,Teacher,Education,1,138213,2,Boston,ChatGPT,High,Entry,In-Office
William Clayton,Marketing Manager,Media & Marketing,2,108181,33,Remote,Writer.com,High,Veteran,Remote
Michael Velez,Doctor,Healthcare,2,63890,28,Seattle,Claude,Medium,Veteran,In-Office
Christina Graves,Software Engineer,Tech,5,106336,18,San Francisco,Claude,High,Senior,In-Office
Samantha Smith,Paralegal,Legal,5,100939,6,Boston,Claude,High,Mid,In-Office
Thomas Garcia,Lawyer,Legal,5,196170,6,Chicago,Claude,Very High,Mid,In-Office
Jessica Howard,Financial Analyst,Finance,3,44793,13,New York,ChatGPT,Low,Senior,In-Office
Roger Walsh,Nurse,Healthcare,5,75803,26,Seattle,MedpaLM,Medium,Veteran,In-Office
Andrea Solomon,Lawyer,Legal,5,109899,32,New York,Harvey,High,Veteran,In-Office
Misty Brown,HR Manager,Human Resources,4,158128,29,Boston,Scribe AI,Very High,Veteran,In-Office
Jennifer Payne,Teacher,Education,5,157167,14,Seattle,ChatGPT,Very High,Senior,In-Office
Corey Zhang,Financial Analyst,Finance,5,116923,17,Boston,Perplexity AI,High,Senior,In-Office
Dennis Reed,Customer Support Agent,Healthcare,4,50078,32,San Francisco,ChatGPT,Low,Veteran,In-Office
Leslie Perry,Technical Recruiter,Healthcare,4,108074,21,Seattle,Scribe AI,High,Senior,In-Office
Jillian Thomas,Teacher,Education,4,82819,22,Remote,Google Gemini,Medium,Senior,Remote
Dr. Jerry Tapia,Data Analyst,Media & Marketing,2,187653,20,New York,ChatGPT,Very High,Senior,In-Office
Teresa Williams,Copywriter,Media & Marketing,4,189994,15,San Francisco,ChatGPT,Very High,Senior,In-Office
Monica Waller,Copywriter,Tech,4,174478,6,New York,Writer.com,Very High,Mid,In-Office
Rachel Ramirez,Teacher,Education,2,195088,29,San Francisco,Google Gemini,Very High,Veteran,In-Office
Brittany Hicks,Paralegal,Legal,1,188669,29,Seattle,Claude,Very High,Veteran,In-Office
Andres Gardner,Paralegal,Legal,4,98854,26,New York,DoNotPay,Medium,Veteran,In-Office
Derek Petersen,Radiologist,Healthcare,3,87595,15,Chicago,MedpaLM,Medium,Senior,In-Office
Kim Middleton,HR Manager,Human Resources,3,64175,5,Chicago,Writer.com,Medium,Mid,In-Office
Edward Franklin,HR Manager,Human Resources,3,150049,11,Austin,Scribe AI,Very High,Senior,In-Office
Kenneth Scott,Marketing Manager,Media & Marketing,4,40523,24,Austin,Scribe AI,Low,Senior,In-Office
Chad Cook,Marketing Manager,Media & Marketing,3,90222,13,Seattle,ChatGPT,Medium,Senior,In-Office
Jill Klein,Data Analyst,Healthcare,5,196824,22,Seattle,ChatGPT,Very High,Senior,In-Office
Paul Montes,Financial Analyst,Healthcare,4,78549,14,Chicago,Perplexity AI,Medium,Senior,In-Office
James Rodriguez,Doctor,Healthcare,4,125756,0,Boston,MedpaLM,High,Entry,In-Office
Stephanie Sexton,Copywriter,Media & Marketing,1,192837,10,Seattle,Writer.com,Very High,Senior,In-Office
Angela Jackson,Lawyer,Legal,1,114093,15,Chicago,Claude,High,Senior,In-Office
Sara Gordon,Copywriter,Tech,2,154637,13,Seattle,Writer.com,Very High,Senior,In-Office
Lori Lee,Data Analyst,Healthcare,4,147093,35,Remote,ChatGPT,High,Veteran,Remote
Jared Pollard,Radiologist,Healthcare,4,70045,24,San Francisco,MedpaLM,Medium,Senior,In-Office
Douglas Wright,Doctor,Healthcare,1,44168,34,Austin,MedpaLM,Low,Veteran,In-Office
William Glover,Nurse,Healthcare,5,117317,20,Remote,MedpaLM,High,Senior,Remote
Amy Walker,Technical Recruiter,Media & Marketing,2,135548,1,Chicago,ChatGPT,High,Entry,In-Office
Nathan Morales,Copywriter,Tech,2,147144,12,Chicago,Writer.com,High,Senior,In-Office
Jane Meadows,HR Manager,Human Resources,4,150383,35,New York,Writer.com,Very High,Veteran,In-Office
Daniel Ryan,Customer Support Agent,Healthcare,4,177843,31,Austin,Perplexity AI,Very High,Veteran,In-Office
Justin Flores,Radiologist,Healthcare,5,47818,8,Austin,Claude,Low,Mid,In-Office
Joshua Ochoa,Radiologist,Healthcare,5,150991,31,Boston,Claude,Very High,Veteran,In-Office
Mary Jacobs,Teacher,Education,4,107490,14,Chicago,Google Gemini,High,Senior,In-Office
Kristie Medina,Radiologist,Healthcare,1,160978,32,San Francisco,Claude,Very High,Veteran,In-Office
Jonathan Smith,Radiologist,Healthcare,2,120098,5,Chicago,Claude,High,Mid,In-Office
Raymond Walter,HR Manager,Human Resources,4,135101,4,Chicago,Writer.com,High,Mid,In-Office
Anthony Thompson,Data Analyst,Finance,2,126065,4,Chicago,ChatGPT,High,Mid,In-Office
Kendra Morales,Teacher,Education,3,103533,29,Remote,Claude,High,Veteran,Remote
Taylor Jones,Marketing Manager,Media & Marketing,2,177643,29,Austin,Writer.com,Very High,Veteran,In-Office
John Berg,Software Engineer,Tech,5,49006,35,Austin,Github Copilot,Low,Veteran,In-Office
Craig Carlson,Doctor,Healthcare,5,171710,17,Remote,Claude,Very High,Senior,Remote
Jane Gilmore DDS,Data Analyst,Finance,3,110258,2,Boston,ChatGPT,High,Entry,In-Office
Eric Lawrence,Software Engineer,Tech,2,142744,8,Seattle,ChatGPT,High,Mid,In-Office
Pamela Walker,Doctor,Healthcare,4,112929,18,Chicago,MedpaLM,High,Senior,In-Office
Tonya Williams,Data Analyst,Media & Marketing,4,84722,4,Seattle,ChatGPT,Medium,Mid,In-Office
Amber Kennedy,Data Analyst,Finance,4,63000,34,Seattle,Github Copilot,Medium,Veteran,In-Office
Leah Palmer,Lawyer,Legal,3,191644,14,Boston,DoNotPay,Very High,Senior,In-Office
Patricia Marshall,Radiologist,Healthcare,2,46558,19,Chicago,Claude,Low,Senior,In-Office
Lisa Mcdaniel,Lawyer,Legal,1,148530,21,Chicago,Claude,High,Senior,In-Office
Charles Gibson,HR Manager,Human Resources,2,165491,4,Boston,Scribe AI,Very High,Mid,In-Office
Robert Morris,Marketing Manager,Media & Marketing,2,192568,27,Remote,ChatGPT,Very High,Veteran,Remote
Ryan Dean,Radiologist,Healthcare,4,177912,33,Remote,MedpaLM,Very High,Veteran,Remote
Brandon Sullivan,Doctor,Healthcare,2,76744,17,Seattle,Claude,Medium,Senior,In-Office
Kayla White,Doctor,Healthcare,4,173662,17,Boston,MedpaLM,Very High,Senior,In-Office
Justin Spears,Nurse,Healthcare,1,54913,27,Remote,Claude,Low,Veteran,Remote
Francis Walker,HR Manager,Human Resources,4,160573,21,Boston,ChatGPT,Very High,Senior,In-Office
Jose Silva,Technical Recruiter,Finance,4,86890,27,Austin,Scribe AI,Medium,Veteran,In-Office
Laura Hunt DDS,Teacher,Education,1,144208,24,Seattle,Claude,High,Senior,In-Office
Paige Allison,Copywriter,Media & Marketing,4,75010,32,New York,ChatGPT,Medium,Veteran,In-Office
Ryan Smith,Customer Support Agent,Healthcare,1,105673,25,New York,Perplexity AI,High,Veteran,In-Office
Jaime Phillips,Customer Support Agent,Tech,2,70076,15,San Francisco,ChatGPT,Medium,Senior,In-Office
Karen Stone,Teacher,Education,5,112995,9,Boston,ChatGPT,High,Mid,In-Office
Janice Parker,Customer Support Agent,Finance,5,86033,28,Boston,Perplexity AI,Medium,Veteran,In-Office
Mark Rosales II,Lawyer,Legal,3,163598,27,New York,Harvey,Very High,Veteran,In-Office
Jerry Weaver,Paralegal,Legal,2,110142,25,Seattle,Harvey,High,Veteran,In-Office
Ryan Reed,Lawyer,Legal,1,195311,25,Austin,Claude,Very High,Veteran,In-Office
Christina Sharp,Doctor,Healthcare,1,199436,24,San Francisco,MedpaLM,Very High,Senior,In-Office
Cynthia Phillips,HR Manager,Human Resources,3,171202,27,Austin,Scribe AI,Very High,Veteran,In-Office
Grant Schmidt,Radiologist,Healthcare,5,67560,18,Chicago,Claude,Medium,Senior,In-Office
Luke Reed,Teacher,Education,2,124054,12,Chicago,Claude,High,Senior,In-Office
Jennifer Harmon,Marketing Manager,Media & Marketing,4,90098,27,San Francisco,ChatGPT,Medium,Veteran,In-Office
Charles Nichols,Marketing Manager,Media & Marketing,4,83918,24,Boston,ChatGPT,Medium,Senior,In-Office
Nancy Thompson,Radiologist,Healthcare,3,138486,26,San Francisco,MedpaLM,High,Veteran,In-Office
Jennifer Coleman,Software Engineer,Tech,2,88899,12,Chicago,ChatGPT,Medium,Senior,In-Office
Benjamin Jones,Customer Support Agent,Media & Marketing,2,156381,0,Boston,ChatGPT,Very High,Entry,In-Office
John Harris,Doctor,Healthcare,5,46620,13,San Francisco,MedpaLM,Low,Senior,In-Office
Jimmy Kane,Radiologist,Healthcare,3,138681,33,San Francisco,MedpaLM,High,Veteran,In-Office
Heather Scott,Lawyer,Legal,4,85538,21,Remote,DoNotPay,Medium,Senior,Remote
Ricardo Olson,Nurse,Healthcare,5,180912,26,San Francisco,MedpaLM,Very High,Veteran,In-Office
Jeremy Harris,Financial Analyst,Finance,4,163403,21,San Francisco,ChatGPT,Very High,Senior,In-Office
James Guerrero,Financial Analyst,Healthcare,2,156712,33,Austin,ChatGPT,Very High,Veteran,In-Office
Ann Welch,Data Analyst,Finance,1,79791,23,Boston,ChatGPT,Medium,Senior,In-Office
Jonathan Martinez,Customer Support Agent,Healthcare,4,102312,20,New York,Perplexity AI,High,Senior,In-Office
Richard Michael,Marketing Manager,Media & Marketing,5,53954,15,Chicago,ChatGPT,Low,Senior,In-Office
Kenneth Schwartz MD,Financial Analyst,Finance,4,198608,18,Austin,Perplexity AI,Very High,Senior,In-Office
Kevin Mitchell,HR Manager,Human Resources,4,85417,1,Austin,ChatGPT,Medium,Entry,In-Office
Nancy Thomas,Software Engineer,Tech,2,128443,15,New York,ChatGPT,High,Senior,In-Office
Timothy Hill,Nurse,Healthcare,5,117010,6,Seattle,Claude,High,Mid,In-Office
Daniel Williams,Copywriter,Tech,5,172247,12,Seattle,ChatGPT,Very High,Senior,In-Office
Alexis Tran,Financial Analyst,Healthcare,3,148089,15,Chicago,ChatGPT,High,Senior,In-Office
Beth Jackson,Data Analyst,Healthcare,5,173980,23,Chicago,Claude,Very High,Senior,In-Office
Alicia Jackson,Data Analyst,Healthcare,3,115650,28,New York,Claude,High,Veteran,In-Office
Julie Singh,Paralegal,Legal,3,146715,18,New York,Harvey,High,Senior,In-Office
Brian Kim,Nurse,Healthcare,4,58003,18,Chicago,Claude,Low,Senior,In-Office
David Fields,Nurse,Healthcare,5,189242,3,Austin,MedpaLM,Very High,Mid,In-Office
Leslie Bridges,Data Analyst,Tech,3,142863,32,Remote,Github Copilot,High,Veteran,Remote
Veronica Gillespie,HR Manager,Human Resources,5,171088,10,New York,Scribe AI,Very High,Senior,In-Office
Jennifer Morales,Teacher,Education,2,41567,18,Boston,Google Gemini,Low,Senior,In-Office
Jennifer Thompson,Software Engineer,Tech,3,154635,21,Chicago,Claude,Very High,Senior,In-Office
Shannon Campbell,Teacher,Education,4,146877,2,San Francisco,Claude,High,Entry,In-Office
Cindy Mckinney,HR Manager,Human Resources,3,176450,4,Austin,Writer.com,Very High,Mid,In-Office
Manuel Barnett,HR Manager,Human Resources,1,175115,15,Boston,Writer.com,Very High,Senior,In-Office
Brian Anderson,Software Engineer,Tech,3,96027,9,San Francisco,ChatGPT,Medium,Mid,In-Office
Diana Owens,HR Manager,Human Resources,4,87561,11,San Francisco,ChatGPT,Medium,Senior,In-Office
Brian Juarez MD,Lawyer,Legal,3,113959,23,New York,Claude,High,Senior,In-Office
Olivia Bowen,Doctor,Healthcare,4,89750,28,Boston,MedpaLM,Medium,Veteran,In-Office
James Fuller,Paralegal,Legal,4,127095,17,Chicago,Harvey,High,Senior,In-Office
Darlene Lee,Doctor,Healthcare,2,191218,30,Remote,MedpaLM,Very High,Veteran,Remote
Alexandra Ware,Data Analyst,Finance,4,74968,5,New York,Claude,Medium,Mid,In-Office
Casey Clark,Marketing Manager,Media & Marketing,1,111652,6,New York,Scribe AI,High,Mid,In-Office
Michael Chaney,Paralegal,Legal,4,50202,29,Remote,DoNotPay,Low,Veteran,Remote
Richard Thomas,HR Manager,Human Resources,4,94095,34,Boston,Writer.com,Medium,Veteran,In-Office
Jose Giles,Lawyer,Legal,1,123170,17,San Francisco,Claude,High,Senior,In-Office
Fernando Smith,Software Engineer,Tech,4,189188,9,Austin,Github Copilot,Very High,Mid,In-Office
Stephanie Hernandez,Teacher,Education,1,85394,5,Seattle,Claude,Medium,Mid,In-Office
Alison Hayes,Data Analyst,Media & Marketing,2,180775,27,Chicago,Github Copilot,Very High,Veteran,In-Office
Monica Cardenas,Nurse,Healthcare,4,124967,15,Seattle,Claude,High,Senior,In-Office
James Hicks,Software Engineer,Tech,3,192044,4,Chicago,Github Copilot,Very High,Mid,In-Office
Joseph Murray,Doctor,Healthcare,4,147909,20,New York,Claude,High,Senior,In-Office
Amy Walker,Paralegal,Legal,2,81897,29,Austin,Harvey,Medium,Veteran,In-Office
Jeffrey Savage,Copywriter,Media & Marketing,5,85590,7,Remote,ChatGPT,Medium,Mid,Remote
Michael Rodgers,Marketing Manager,Media & Marketing,5,63756,13,Remote,Writer.com,Medium,Senior,Remote
Heidi Evans,Radiologist,Healthcare,5,108100,15,Austin,Claude,High,Senior,In-Office
John Peterson,Lawyer,Legal,5,147078,32,Seattle,DoNotPay,High,Veteran,In-Office
Emily Williams,Radiologist,Healthcare,1,176064,26,Seattle,Claude,Very High,Veteran,In-Office
Michael Price,Customer Support Agent,Finance,5,60245,27,New York,ChatGPT,Medium,Veteran,In-Office
Valerie Mitchell,Nurse,Healthcare,3,104806,20,Boston,MedpaLM,High,Senior,In-Office
Melissa Stewart,Technical Recruiter,Human Resources,3,148744,15,Remote,Scribe AI,High,Senior,Remote
David Macdonald,Lawyer,Legal,1,145932,32,Austin,Harvey,High,Veteran,In-Office
Daniel Walsh,Data Analyst,Finance,2,64369,16,Remote,Github Copilot,Medium,Senior,Remote
Manuel Paul,Doctor,Healthcare,1,133054,11,Boston,MedpaLM,High,Senior,In-Office
Andrew Donaldson,Software Engineer,Tech,3,42067,8,New York,Github Copilot,Low,Mid,In-Office
Joshua Duran,Software Engineer,Tech,4,176688,2,Seattle,Claude,Very High,Entry,In-Office
Jamie Patterson,Nurse,Healthcare,1,85202,12,San Francisco,MedpaLM,Medium,Senior,In-Office
Kevin Jackson,Copywriter,Media & Marketing,5,62027,16,Austin,Writer.com,Medium,Senior,In-Office
Andrew Edwards,HR Manager,Human Resources,4,131925,10,Chicago,ChatGPT,High,Senior,In-Office
Susan King,HR Manager,Human Resources,1,177480,5,New York,Scribe AI,Very High,Mid,In-Office
Tina Martinez,Software Engineer,Tech,5,99773,0,Seattle,ChatGPT,Medium,Entry,In-Office
Lindsey Garrett,Technical Recruiter,Media & Marketing,1,71557,35,San Francisco,ChatGPT,Medium,Veteran,In-Office
Lisa Martinez,Financial Analyst,Healthcare,4,176812,19,Chicago,Perplexity AI,Very High,Senior,In-Office
Andrew Clark,Doctor,Healthcare,5,46837,25,Remote,MedpaLM,Low,Veteran,Remote
Ryan Hall,Nurse,Healthcare,2,154221,18,New York,Claude,Very High,Senior,In-Office
Joseph Johnson,Doctor,Healthcare,5,151219,10,San Francisco,Claude,Very High,Senior,In-Office
Timothy Odom,Doctor,Healthcare,4,53481,18,Remote,Claude,Low,Senior,Remote
Rebecca Ross,Technical Recruiter,Finance,2,194033,10,Boston,Scribe AI,Very High,Senior,In-Office
Annette Boyd,Radiologist,Healthcare,5,142463,19,Austin,Claude,High,Senior,In-Office
Jackie Fuller,Lawyer,Legal,5,167486,9,Austin,Harvey,Very High,Mid,In-Office
Ms. Jillian Mcdonald,Customer Support Agent,Media & Marketing,2,182341,15,Seattle,ChatGPT,Very High,Senior,In-Office
Paul Buchanan,Customer Support Agent,Media & Marketing,1,48770,24,Remote,Perplexity AI,Low,Senior,Remote
Patrick Hayes,HR Manager,Human Resources,5,116176,25,New York,Scribe AI,High,Veteran,In-Office
Gregg Castro,Nurse,Healthcare,4,131937,10,San Francisco,MedpaLM,High,Senior,In-Office
Ronald Santiago,Software Engineer,Tech,1,116002,28,New York,ChatGPT,High,Veteran,In-Office
Donald Morgan,HR Manager,Human Resources,4,113813,15,Seattle,Writer.com,High,Senior,In-Office
Mathew Andersen,Customer Support Agent,Media & Marketing,4,53835,23,Chicago,ChatGPT,Low,Senior,In-Office
Gregory Thompson,Teacher,Education,2,182850,29,Austin,Google Gemini,Very High,Veteran,In-Office
Jason Pena,Paralegal,Legal,5,132332,8,Chicago,DoNotPay,High,Mid,In-Office
Bailey Jones,Software Engineer,Tech,4,196525,20,Chicago,Claude,Very High,Senior,In-Office
Kimberly Haynes,Data Analyst,Finance,4,85194,6,Austin,Claude,Medium,Mid,In-Office
Katherine Curry,Doctor,Healthcare,4,49340,16,Boston,Claude,Low,Senior,In-Office
Andrew Ramos,Copywriter,Media & Marketing,1,171468,34,Seattle,Writer.com,Very High,Veteran,In-Office
Charles King,HR Manager,Human Resources,4,115647,15,Seattle,Writer.com,High,Senior,In-Office
John Taylor,Customer Support Agent,Finance,1,43641,33,Austin,Perplexity AI,Low,Veteran,In-Office
Michael Mitchell,Teacher,Education,2,103023,21,Boston,ChatGPT,High,Senior,In-Office
Joel Simmons,Paralegal,Legal,3,196266,24,Seattle,Claude,Very High,Senior,In-Office
Amber Crawford,HR Manager,Human Resources,4,139156,21,Seattle,Writer.com,High,Senior,In-Office
Angelica Barr,Nurse,Healthcare,2,183271,34,Chicago,Claude,Very High,Veteran,In-Office
Jennifer Mueller,Radiologist,Healthcare,5,112202,32,San Francisco,MedpaLM,High,Veteran,In-Office
Bobby Cantrell,Copywriter,Tech,1,109225,2,Chicago,Writer.com,High,Entry,In-Office
Tyler Peck MD,Marketing Manager,Media & Marketing,2,41838,26,New York,Scribe AI,Low,Veteran,In-Office
Brian Avila,Software Engineer,Tech,1,52680,3,Chicago,ChatGPT,Low,Mid,In-Office
Michelle White,Paralegal,Legal,2,197122,11,San Francisco,Harvey,Very High,Senior,In-Office
Caitlin Williams,Doctor,Healthcare,3,199407,25,Seattle,MedpaLM,Very High,Veteran,In-Office
Dana Griffin,Data Analyst,Finance,3,141566,7,Boston,ChatGPT,High,Mid,In-Office
Ashley Bender,Paralegal,Legal,3,43566,24,Seattle,DoNotPay,Low,Senior,In-Office
Erin Ward,Radiologist,Healthcare,4,72412,18,Remote,Claude,Medium,Senior,Remote
Rachael Peck,Radiologist,Healthcare,1,139472,24,Boston,MedpaLM,High,Senior,In-Office
Douglas Thomas,Marketing Manager,Media & Marketing,1,111504,35,San Francisco,Writer.com,High,Veteran,In-Office
Chelsey Huffman,Financial Analyst,Finance,4,103906,4,Chicago,Perplexity AI,High,Mid,In-Office
Steven Rodriguez,Customer Support Agent,Healthcare,4,43013,30,Remote,Perplexity AI,Low,Veteran,Remote
Emily Hernandez,Radiologist,Healthcare,3,48244,7,Boston,MedpaLM,Low,Mid,In-Office
Kiara Le,Data Analyst,Media & Marketing,1,199137,28,Chicago,Claude,Very High,Veteran,In-Office
Justin Marshall,Lawyer,Legal,5,197308,3,New York,Claude,Very High,Mid,In-Office
Peggy Blanchard,Paralegal,Legal,2,199933,5,New York,Claude,Very High,Mid,In-Office
Kyle Gutierrez,Marketing Manager,Media & Marketing,2,125145,11,Remote,ChatGPT,High,Senior,Remote
Alison Nguyen,Software Engineer,Tech,5,159630,10,Seattle,ChatGPT,Very High,Senior,In-Office
Jeffrey Malone,Marketing Manager,Media & Marketing,1,189575,13,Remote,Writer.com,Very High,Senior,Remote
Carrie Shea,Technical Recruiter,Human Resources,4,104808,8,Remote,ChatGPT,High,Mid,Remote
Sabrina Mayer,Software Engineer,Tech,5,141146,6,San Francisco,ChatGPT,High,Mid,In-Office
Kathleen Ball,Nurse,Healthcare,3,139240,29,San Francisco,MedpaLM,High,Veteran,In-Office
James Morris,Teacher,Education,1,186092,4,San Francisco,Google Gemini,Very High,Mid,In-Office
Christopher Mccormick Jr.,Financial Analyst,Healthcare,3,190793,29,Chicago,Perplexity AI,Very High,Veteran,In-Office
Brandon Turner,Lawyer,Legal,4,94282,25,Boston,DoNotPay,Medium,Veteran,In-Office
Kelly Heath,Lawyer,Legal,5,60121,6,New York,Claude,Medium,Mid,In-Office
Dana Savage,Copywriter,Media & Marketing,4,83693,18,San Francisco,Writer.com,Medium,Senior,In-Office
Denise Morales,Software Engineer,Tech,4,79861,24,Boston,ChatGPT,Medium,Senior,In-Office
Cameron Martinez,Paralegal,Legal,2,66301,34,San Francisco,DoNotPay,Medium,Veteran,In-Office
