Name,Job_Title,Industry,AI_Replacement_Risk,Salary,Years_of_Experience,City,AI_Tool_Threat
George Lewis,Financial Analyst,Finance,2,122237,2,Chicago,None
Jesus Bates,Customer Support Agent,Media & Marketing,4,173266,13,Chicago,None
Michael Velez,Doctor,Healthcare,2,63890,28,Seattle,Claude
Christina Graves,Software Engineer,Tech,5,106336,18,San Francisco,Claude
Samantha Smith,Paralegal,Legal,5,100939,6,Boston,Claude
Thomas Garcia,Lawyer,Legal,5,196170,6,Chicago,Claude
Jessica Howard,Financial Analyst,Finance,3,44793,13,New York,ChatGPT
Roger Walsh,Nurse,Healthcare,5,75803,26,Seattle,MedpaLM
Cynthia Macias,Technical Recruiter,Media & Marketing,4,56158,0,New York,None
Andrea Solomon,Lawyer,Legal,5,109899,32,New York,Harvey
Misty Brown,HR Manager,Human Resources,4,158128,29,Boston,Scribe AI
Jennifer Payne,Teacher,Education,5,157167,14,Seattle,ChatGPT
Corey Zhang,Financial Analyst,Finance,5,116923,17,Boston,Perplexity AI
Dennis Reed,Customer Support Agent,Healthcare,4,50078,32,San Francisco,ChatGPT
Leslie Perry,Technical Recruiter,Healthcare,4,108074,21,Seattle,Scribe AI
Jillian Thomas,Teacher,Education,4,82819,22,Remote,Google Gemini
Dr. Jerry Tapia,Data Analyst,Media & Marketing,2,187653,20,New York,ChatGPT
Teresa Williams,Copywriter,Media & Marketing,4,189994,15,San Francisco,ChatGPT
Monica Waller,Copywriter,Tech,4,174478,6,New York,Writer.com
Rachel Ramirez,Teacher,Education,2,195088,29,San Francisco,Google Gemini
Brittany Hicks,Paralegal,Legal,1,188669,29,Seattle,Claude
Andres Gardner,Paralegal,Legal,4,98854,26,New York,DoNotPay
Derek Petersen,Radiologist,Healthcare,3,87595,15,Chicago,MedpaLM
Kim Middleton,HR Manager,Human Resources,3,64175,5,Chicago,Writer.com
Edward Franklin,HR Manager,Human Resources,3,150049,11,Austin,Scribe AI
Kenneth Scott,Marketing Manager,Media & Marketing,4,40523,24,Austin,Scribe AI
Chad Cook,Marketing Manager,Media & Marketing,3,90222,13,Seattle,ChatGPT
Jill Klein,Data Analyst,Healthcare,5,196824,22,Seattle,ChatGPT
Paul Montes,Financial Analyst,Healthcare,4,78549,14,Chicago,Perplexity AI
James Rodriguez,Doctor,Healthcare,4,125756,0,Boston,MedpaLM
Stephanie Sexton,Copywriter,Media & Marketing,1,192837,10,Seattle,Writer.com
Angela Jackson,Lawyer,Legal,1,114093,15,Chicago,Claude
Sara Gordon,Copywriter,Tech,2,154637,13,Seattle,Writer.com
Lori Lee,Data Analyst,Healthcare,4,147093,35,Remote,ChatGPT
Jared Pollard,Radiologist,Healthcare,4,70045,24,San Francisco,MedpaLM
Douglas Wright,Doctor,Healthcare,1,44168,34,Austin,MedpaLM
William Glover,Nurse,Healthcare,5,117317,20,Remote,MedpaLM
Amy Walker,Technical Recruiter,Media & Marketing,2,135548,1,Chicago,ChatGPT
Nathan Morales,Copywriter,Tech,2,147144,12,Chicago,Writer.com
Jane Meadows,HR Manager,Human Resources,4,150383,35,New York,Writer.com
Daniel Ryan,Customer Support Agent,Healthcare,4,177843,31,Austin,Perplexity AI
Justin Flores,Radiologist,Healthcare,5,47818,8,Austin,Claude
Joshua Ochoa,Radiologist,Healthcare,5,150991,31,Boston,Claude
Mary Jacobs,Teacher,Education,4,107490,14,Chicago,Google Gemini
Kristie Medina,Radiologist,Healthcare,1,160978,32,San Francisco,Claude
Jonathan Smith,Radiologist,Healthcare,2,120098,5,Chicago,Claude
Raymond Walter,HR Manager,Human Resources,4,135101,4,Chicago,Writer.com
Anthony Thompson,Data Analyst,Finance,2,126065,4,Chicago,ChatGPT
Kendra Morales,Teacher,Education,3,103533,29,Remote,Claude
Taylor Jones,Marketing Manager,Media & Marketing,2,177643,29,Austin,Writer.com
John Berg,Software Engineer,Tech,5,49006,35,Austin,Github Copilot
Craig Carlson,Doctor,Healthcare,5,171710,17,Remote,Claude
Jane Gilmore DDS,Data Analyst,Finance,3,110258,2,Boston,ChatGPT
Eric Lawrence,Software Engineer,Tech,2,142744,8,Seattle,ChatGPT
Pamela Walker,Doctor,Healthcare,4,112929,18,Chicago,MedpaLM
Tonya Williams,Data Analyst,Media & Marketing,4,84722,4,Seattle,ChatGPT
Amber Kennedy,Data Analyst,Finance,4,63000,34,Seattle,Github Copilot
Leah Palmer,Lawyer,Legal,3,191644,14,Boston,DoNotPay
Patricia Marshall,Radiologist,Healthcare,2,46558,19,Chicago,Claude
Lisa Mcdaniel,Lawyer,Legal,1,148530,21,Chicago,Claude
Charles Gibson,HR Manager,Human Resources,2,165491,4,Boston,Scribe AI
Robert Morris,Marketing Manager,Media & Marketing,2,192568,27,Remote,ChatGPT
Ryan Dean,Radiologist,Healthcare,4,177912,33,Remote,MedpaLM
Brandon Sullivan,Doctor,Healthcare,2,76744,17,Seattle,Claude
Kayla White,Doctor,Healthcare,4,173662,17,Boston,MedpaLM
Justin Spears,Nurse,Healthcare,1,54913,27,Remote,Claude
Francis Walker,HR Manager,Human Resources,4,160573,21,Boston,ChatGPT
Jose Silva,Technical Recruiter,Finance,4,86890,27,Austin,Scribe AI
Laura Hunt DDS,Teacher,Education,1,144208,24,Seattle,Claude
Paige Allison,Copywriter,Media & Marketing,4,75010,32,New York,ChatGPT
Ryan Smith,Customer Support Agent,Healthcare,1,105673,25,New York,Perplexity AI
Mr. Stephen Frye,Financial Analyst,Finance,1,48841,24,San Francisco,None
Jaime Phillips,Customer Support Agent,Tech,2,70076,15,San Francisco,ChatGPT
Karen Stone,Teacher,Education,5,112995,9,Boston,ChatGPT
Janice Parker,Customer Support Agent,Finance,5,86033,28,Boston,Perplexity AI
Mark Rosales II,Lawyer,Legal,3,163598,27,New York,Harvey
Jerry Weaver,Paralegal,Legal,2,110142,25,Seattle,Harvey
Ryan Reed,Lawyer,Legal,1,195311,25,Austin,Claude
Christina Sharp,Doctor,Healthcare,1,199436,24,San Francisco,MedpaLM
Cynthia Phillips,HR Manager,Human Resources,3,171202,27,Austin,Scribe AI
Grant Schmidt,Radiologist,Healthcare,5,67560,18,Chicago,Claude
Luke Reed,Teacher,Education,2,124054,12,Chicago,Claude
Jennifer Harmon,Marketing Manager,Media & Marketing,4,90098,27,San Francisco,ChatGPT
Anna Martinez,Customer Support Agent,Finance,5,165996,2,San Francisco,None
Charles Nichols,Marketing Manager,Media & Marketing,4,83918,24,Boston,ChatGPT
Nancy Thompson,Radiologist,Healthcare,3,138486,26,San Francisco,MedpaLM
Jennifer Coleman,Software Engineer,Tech,2,88899,12,Chicago,ChatGPT
Benjamin Jones,Customer Support Agent,Media & Marketing,2,156381,0,Boston,ChatGPT
John Harris,Doctor,Healthcare,5,46620,13,San Francisco,MedpaLM
Jimmy Kane,Radiologist,Healthcare,3,138681,33,San Francisco,MedpaLM
Heather Scott,Lawyer,Legal,4,85538,21,Remote,DoNotPay
Ricardo Olson,Nurse,Healthcare,5,180912,26,San Francisco,MedpaLM
Jeremy Harris,Financial Analyst,Finance,4,163403,21,San Francisco,ChatGPT
James Guerrero,Financial Analyst,Healthcare,2,156712,33,Austin,ChatGPT
Ann Welch,Data Analyst,Finance,1,79791,23,Boston,ChatGPT
Jonathan Martinez,Customer Support Agent,Healthcare,4,102312,20,New York,Perplexity AI
Claudia Green,Financial Analyst,Finance,4,160315,32,Boston,None
Richard Michael,Marketing Manager,Media & Marketing,5,53954,15,Chicago,ChatGPT
Kenneth Schwartz MD,Financial Analyst,Finance,4,198608,18,Austin,Perplexity AI
Kevin Mitchell,HR Manager,Human Resources,4,85417,1,Austin,ChatGPT
Nancy Thomas,Software Engineer,Tech,2,128443,15,New York,ChatGPT
Timothy Hill,Nurse,Healthcare,5,117010,6,Seattle,Claude
Reginald Ritter,Financial Analyst,Healthcare,5,70437,11,Seattle,None
Daniel Williams,Copywriter,Tech,5,172247,12,Seattle,ChatGPT
Alexis Tran,Financial Analyst,Healthcare,3,148089,15,Chicago,ChatGPT
Beth Jackson,Data Analyst,Healthcare,5,173980,23,Chicago,Claude
Alicia Jackson,Data Analyst,Healthcare,3,115650,28,New York,Claude
Julie Singh,Paralegal,Legal,3,146715,18,New York,Harvey
Brian Kim,Nurse,Healthcare,4,58003,18,Chicago,Claude
David Fields,Nurse,Healthcare,5,189242,3,Austin,MedpaLM
Leslie Bridges,Data Analyst,Tech,3,142863,32,Remote,Github Copilot
Veronica Gillespie,HR Manager,Human Resources,5,171088,10,New York,Scribe AI
Jennifer Morales,Teacher,Education,2,41567,18,Boston,Google Gemini
Jennifer Thompson,Software Engineer,Tech,3,154635,21,Chicago,Claude
Megan Christensen,Financial Analyst,Finance,1,176967,24,Boston,None
Shannon Campbell,Teacher,Education,4,146877,2,San Francisco,Claude
Robert Reed,Customer Support Agent,Healthcare,4,69595,12,Boston,None
Cindy Mckinney,HR Manager,Human Resources,3,176450,4,Austin,Writer.com
Manuel Barnett,HR Manager,Human Resources,1,175115,15,Boston,Writer.com
Brian Anderson,Software Engineer,Tech,3,96027,9,San Francisco,ChatGPT
Diana Owens,HR Manager,Human Resources,4,87561,11,San Francisco,ChatGPT
Brian Juarez MD,Lawyer,Legal,3,113959,23,New York,Claude
Olivia Bowen,Doctor,Healthcare,4,89750,28,Boston,MedpaLM
James Fuller,Paralegal,Legal,4,127095,17,Chicago,Harvey
Darlene Lee,Doctor,Healthcare,2,191218,30,Remote,MedpaLM
Alexandra Ware,Data Analyst,Finance,4,74968,5,New York,Claude
Casey Clark,Marketing Manager,Media & Marketing,1,111652,6,New York,Scribe AI
Michael Chaney,Paralegal,Legal,4,50202,29,Remote,DoNotPay
Richard Thomas,HR Manager,Human Resources,4,94095,34,Boston,Writer.com
Jose Giles,Lawyer,Legal,1,123170,17,San Francisco,Claude
Fernando Smith,Software Engineer,Tech,4,189188,9,Austin,Github Copilot
Stephanie Hernandez,Teacher,Education,1,85394,5,Seattle,Claude
Alison Hayes,Data Analyst,Media & Marketing,2,180775,27,Chicago,Github Copilot
Monica Cardenas,Nurse,Healthcare,4,124967,15,Seattle,Claude
James Hicks,Software Engineer,Tech,3,192044,4,Chicago,Github Copilot
Joseph Murray,Doctor,Healthcare,4,147909,20,New York,Claude
Amy Walker,Paralegal,Legal,2,81897,29,Austin,Harvey
Jeffrey Savage,Copywriter,Media & Marketing,5,85590,7,Remote,ChatGPT
Michael Rodgers,Marketing Manager,Media & Marketing,5,63756,13,Remote,Writer.com
Heidi Evans,Radiologist,Healthcare,5,108100,15,Austin,Claude
John Peterson,Lawyer,Legal,5,147078,32,Seattle,DoNotPay
Emily Williams,Radiologist,Healthcare,1,176064,26,Seattle,Claude
Michael Price,Customer Support Agent,Finance,5,60245,27,New York,ChatGPT
Valerie Mitchell,Nurse,Healthcare,3,104806,20,Boston,MedpaLM
Melissa Stewart,Technical Recruiter,Human Resources,3,148744,15,Remote,Scribe AI
David Macdonald,Lawyer,Legal,1,145932,32,Austin,Harvey
Daniel Walsh,Data Analyst,Finance,2,64369,16,Remote,Github Copilot
Manuel Paul,Doctor,Healthcare,1,133054,11,Boston,MedpaLM
Andrew Donaldson,Software Engineer,Tech,3,42067,8,New York,Github Copilot
Joshua Duran,Software Engineer,Tech,4,176688,2,Seattle,Claude
Jamie Patterson,Nurse,Healthcare,1,85202,12,San Francisco,MedpaLM
Kevin Jackson,Copywriter,Media & Marketing,5,62027,16,Austin,Writer.com
Andrew Edwards,HR Manager,Human Resources,4,131925,10,Chicago,ChatGPT
Susan King,HR Manager,Human Resources,1,177480,5,New York,Scribe AI
Tina Martinez,Software Engineer,Tech,5,99773,0,Seattle,ChatGPT
Lindsey Garrett,Technical Recruiter,Media & Marketing,1,71557,35,San Francisco,ChatGPT
Lisa Martinez,Financial Analyst,Healthcare,4,176812,19,Chicago,Perplexity AI
Andrew Clark,Doctor,Healthcare,5,46837,25,Remote,MedpaLM
Ryan Hall,Nurse,Healthcare,2,154221,18,New York,Claude
Joseph Johnson,Doctor,Healthcare,5,151219,10,San Francisco,Claude
Timothy Odom,Doctor,Healthcare,4,53481,18,Remote,Claude
Megan Long DVM,Customer Support Agent,Finance,2,73051,3,Austin,None
Rebecca Ross,Technical Recruiter,Finance,2,194033,10,Boston,Scribe AI
Annette Boyd,Radiologist,Healthcare,5,142463,19,Austin,Claude
Jackie Fuller,Lawyer,Legal,5,167486,9,Austin,Harvey
Ms. Jillian Mcdonald,Customer Support Agent,Media & Marketing,2,182341,15,Seattle,ChatGPT
Paul Buchanan,Customer Support Agent,Media & Marketing,1,48770,24,Remote,Perplexity AI
Patrick Hayes,HR Manager,Human Resources,5,116176,25,New York,Scribe AI
Gregg Castro,Nurse,Healthcare,4,131937,10,San Francisco,MedpaLM
Ronald Santiago,Software Engineer,Tech,1,116002,28,New York,ChatGPT
Donald Morgan,HR Manager,Human Resources,4,113813,15,Seattle,Writer.com
Mathew Andersen,Customer Support Agent,Media & Marketing,4,53835,23,Chicago,ChatGPT
Gregory Thompson,Teacher,Education,2,182850,29,Austin,Google Gemini
Jason Pena,Paralegal,Legal,5,132332,8,Chicago,DoNotPay
Bailey Jones,Software Engineer,Tech,4,196525,20,Chicago,Claude
Kimberly Haynes,Data Analyst,Finance,4,85194,6,Austin,Claude
Joshua Baker,Customer Support Agent,Healthcare,5,81190,34,San Francisco,None
Katherine Curry,Doctor,Healthcare,4,49340,16,Boston,Claude
Andrew Ramos,Copywriter,Media & Marketing,1,171468,34,Seattle,Writer.com
Charles King,HR Manager,Human Resources,4,115647,15,Seattle,Writer.com
John Taylor,Customer Support Agent,Finance,1,43641,33,Austin,Perplexity AI
Michael Mitchell,Teacher,Education,2,103023,21,Boston,ChatGPT
Joel Simmons,Paralegal,Legal,3,196266,24,Seattle,Claude
Amber Crawford,HR Manager,Human Resources,4,139156,21,Seattle,Writer.com
Angelica Barr,Nurse,Healthcare,2,183271,34,Chicago,Claude
Jennifer Mueller,Radiologist,Healthcare,5,112202,32,San Francisco,MedpaLM
Bobby Cantrell,Copywriter,Tech,1,109225,2,Chicago,Writer.com
Tyler Peck MD,Marketing Manager,Media & Marketing,2,41838,26,New York,Scribe AI
Brian Avila,Software Engineer,Tech,1,52680,3,Chicago,ChatGPT
Michelle White,Paralegal,Legal,2,197122,11,San Francisco,Harvey
Caitlin Williams,Doctor,Healthcare,3,199407,25,Seattle,MedpaLM
Dana Griffin,Data Analyst,Finance,3,141566,7,Boston,ChatGPT
Ashley Bender,Paralegal,Legal,3,43566,24,Seattle,DoNotPay
Erin Ward,Radiologist,Healthcare,4,72412,18,Remote,Claude
Rachael Peck,Radiologist,Healthcare,1,139472,24,Boston,MedpaLM
Douglas Thomas,Marketing Manager,Media & Marketing,1,111504,35,San Francisco,Writer.com
Chelsey Huffman,Financial Analyst,Finance,4,103906,4,Chicago,Perplexity AI
Steven Rodriguez,Customer Support Agent,Healthcare,4,43013,30,Remote,Perplexity AI
Emily Hernandez,Radiologist,Healthcare,3,48244,7,Boston,MedpaLM
Kiara Le,Data Analyst,Media & Marketing,1,199137,28,Chicago,Claude
Anthony Davis,Customer Support Agent,Finance,5,123042,31,Boston,None
Justin Marshall,Lawyer,Legal,5,197308,3,New York,Claude
Peggy Blanchard,Paralegal,Legal,2,199933,5,New York,Claude
Kyle Gutierrez,Marketing Manager,Media & Marketing,2,125145,11,Remote,ChatGPT
Alison Nguyen,Software Engineer,Tech,5,159630,10,Seattle,ChatGPT
Jeffrey Malone,Marketing Manager,Media & Marketing,1,189575,13,Remote,Writer.com
Carrie Shea,Technical Recruiter,Human Resources,4,104808,8,Remote,ChatGPT
Sabrina Mayer,Software Engineer,Tech,5,141146,6,San Francisco,ChatGPT
Kathleen Ball,Nurse,Healthcare,3,139240,29,San Francisco,MedpaLM
James Morris,Teacher,Education,1,186092,4,San Francisco,Google Gemini
Christopher Mccormick Jr.,Financial Analyst,Healthcare,3,190793,29,Chicago,Perplexity AI
Brandon Turner,Lawyer,Legal,4,94282,25,Boston,DoNotPay
Kelly Heath,Lawyer,Legal,5,60121,6,New York,Claude
Dana Savage,Copywriter,Media & Marketing,4,83693,18,San Francisco,Writer.com
Denise Morales,Software Engineer,Tech,4,79861,24,Boston,ChatGPT
Cameron Martinez,Paralegal,Legal,2,66301,34,San Francisco,DoNotPay
Laura Wilson,Data Analyst,Media & Marketing,4,191076,1,Chicago,Claude
Laura Lee,HR Manager,Human Resources,5,179914,3,Seattle,Writer.com
Nicholas Rogers,Copywriter,Media & Marketing,2,82200,9,Seattle,ChatGPT
Ryan King,Copywriter,Media & Marketing,2,132277,28,Boston,Writer.com
Nathaniel Jarvis,Customer Support Agent,Media & Marketing,3,185377,34,Austin,Perplexity AI
Lisa Simpson,Financial Analyst,Healthcare,3,139065,12,Boston,Perplexity AI
Alyssa Cook,Financial Analyst,Finance,3,113182,27,Seattle,None
John Garcia,Doctor,Healthcare,1,196268,33,Boston,MedpaLM
Erica Marquez,Teacher,Education,1,61465,13,Seattle,Google Gemini
Tom Garza,Marketing Manager,Media & Marketing,2,149145,4,Chicago,Writer.com
Katherine Hughes,Doctor,Healthcare,1,84824,16,Boston,MedpaLM
Stephen Moore,Data Analyst,Healthcare,2,177053,10,San Francisco,Claude
Sarah Proctor,Lawyer,Legal,3,54060,24,Chicago,Claude
Tara Sharp,Software Engineer,Tech,5,171395,14,San Francisco,ChatGPT
Ashley Shaffer,Lawyer,Legal,4,148667,34,New York,Harvey
Alexander Lozano,Software Engineer,Tech,5,72801,24,Seattle,Claude
Jared Ellis,Lawyer,Legal,2,186487,26,Austin,DoNotPay
Melinda Holmes,Data Analyst,Finance,3,141338,1,Boston,ChatGPT
Edgar Rodriguez,Paralegal,Legal,2,78842,16,New York,Harvey
George Neal,Technical Recruiter,Human Resources,2,167500,5,Chicago,None
Brett Owens,Radiologist,Healthcare,3,88736,7,Remote,MedpaLM
Anthony Smith,Doctor,Healthcare,2,92031,19,Boston,Claude
Ashley Jones,Radiologist,Healthcare,5,93092,10,Remote,MedpaLM
Austin Smith,Radiologist,Healthcare,5,115425,4,Seattle,MedpaLM
Wendy Green,Radiologist,Healthcare,4,95838,12,Seattle,MedpaLM
Angela Wilkinson,Teacher,Education,2,108057,7,Boston,Claude
Audrey Brown,Radiologist,Healthcare,4,119826,32,Austin,Claude
Holly Lozano,Paralegal,Legal,2,82856,15,Seattle,Harvey
Chad Jimenez,Financial Analyst,Healthcare,2,80035,2,Remote,None
Joseph Johnson Jr.,Doctor,Healthcare,2,41297,0,Boston,MedpaLM
Katie Smith,Technical Recruiter,Healthcare,1,131198,0,Austin,Scribe AI
Jordan Montgomery,Teacher,Education,5,76262,29,Austin,Claude
Shawn Ruiz,Copywriter,Media & Marketing,4,156486,4,Boston,ChatGPT
Brittany Smith,Radiologist,Healthcare,3,165683,26,Austin,MedpaLM
Patricia Sparks,Software Engineer,Tech,4,138660,17,Boston,Claude
Angela Chavez,Marketing Manager,Media & Marketing,4,167256,29,New York,ChatGPT
Mathew Lozano,HR Manager,Human Resources,2,122867,21,Boston,Writer.com
Colin Russell,Lawyer,Legal,5,145786,28,San Francisco,DoNotPay
Tony Lee,Technical Recruiter,Healthcare,3,173231,9,Boston,ChatGPT
Susan Reed,Financial Analyst,Healthcare,1,135815,6,Chicago,Perplexity AI
Clifford Diaz,Data Analyst,Finance,3,43868,21,New York,ChatGPT
David Stephenson,Nurse,Healthcare,3,178578,33,Chicago,MedpaLM
Robert Pearson,Teacher,Education,2,129706,9,Austin,Google Gemini
Darrell Reed,Copywriter,Media & Marketing,1,98675,8,Austin,Writer.com
Eric Bullock,Marketing Manager,Media & Marketing,3,179994,21,New York,ChatGPT
Kevin Ruiz,Radiologist,Healthcare,1,169724,16,Chicago,Claude
Tammy Berry PhD,Marketing Manager,Media & Marketing,5,154904,4,Seattle,Writer.com
Jonathan Patterson,Software Engineer,Tech,5,101169,15,Austin,Github Copilot
Steve White,HR Manager,Human Resources,5,69284,31,Seattle,Writer.com
Caroline Young,Radiologist,Healthcare,1,186311,12,Seattle,Claude
Jessica Barnes,Radiologist,Healthcare,1,58179,9,Boston,Claude
Natasha Lopez,Marketing Manager,Media & Marketing,3,95354,18,San Francisco,Writer.com
Mary Sims,Doctor,Healthcare,5,42767,7,Seattle,MedpaLM
Carly Farmer,Doctor,Healthcare,4,159828,5,Chicago,MedpaLM
Richard Mccullough,Financial Analyst,Finance,1,193028,19,Seattle,Perplexity AI
Julian Johnson,Paralegal,Legal,3,159734,31,New York,Harvey
Jessica Reynolds,Customer Support Agent,Tech,2,163819,12,Chicago,ChatGPT
Beverly Cannon,Teacher,Education,5,141085,31,Austin,ChatGPT
William Taylor,HR Manager,Human Resources,2,142916,11,Chicago,ChatGPT
Anita Bradford,Teacher,Education,3,65366,2,Boston,ChatGPT
Michael Cooper,Doctor,Healthcare,5,82049,10,New York,MedpaLM
James Krause,Paralegal,Legal,3,115707,24,San Francisco,Claude
Matthew Carter,Doctor,Healthcare,3,88802,26,New York,Claude
Krista Smith,Technical Recruiter,Tech,1,172481,28,Chicago,Scribe AI
Ricardo Morris,Data Analyst,Finance,2,67528,19,New York,Github Copilot
Shannon Levine,Doctor,Healthcare,4,44655,26,New York,MedpaLM
David Burns MD,Radiologist,Healthcare,4,54824,17,New York,MedpaLM
Gail Middleton,Financial Analyst,Finance,5,159896,7,Austin,None
Stephanie Adkins,HR Manager,Human Resources,5,115291,27,Seattle,ChatGPT
Miguel House,Technical Recruiter,Finance,5,93491,0,Remote,ChatGPT
Adam Shaw,Copywriter,Tech,1,118569,25,San Francisco,ChatGPT
Andrew Fletcher,Software Engineer,Tech,2,86646,22,Boston,ChatGPT
Bryan Jackson,Doctor,Healthcare,3,74078,10,Chicago,Claude
Fred Vasquez,Lawyer,Legal,3,112622,20,New York,DoNotPay
Paul Knight,Marketing Manager,Media & Marketing,5,106087,27,Chicago,Writer.com
Kristi Williams,HR Manager,Human Resources,2,175508,8,New York,Writer.com
James Hogan,Marketing Manager,Media & Marketing,4,146549,10,Chicago,Scribe AI
Julie Clark,Copywriter,Tech,3,73412,8,Seattle,ChatGPT
Penny Meyers,Data Analyst,Media & Marketing,4,131346,6,Boston,Claude
Brianna Nolan,Teacher,Education,5,129675,35,Seattle,ChatGPT
Austin Tucker,Technical Recruiter,Finance,1,112003,16,Chicago,ChatGPT
Ellen Luna,Paralegal,Legal,5,164982,7,Chicago,Claude
Hunter Collins,Doctor,Healthcare,3,137615,14,Chicago,Claude
Samuel George,Nurse,Healthcare,2,163833,22,Chicago,Claude
Amanda Chang,Teacher,Education,2,151824,10,New York,Claude
Sarah Morrison,Lawyer,Legal,2,164187,25,Remote,Claude
William Sparks,Doctor,Healthcare,1,196720,29,Austin,Claude
Virginia Young,Copywriter,Media & Marketing,2,168888,19,Seattle,ChatGPT
Michelle Adams,Nurse,Healthcare,5,135414,16,San Francisco,MedpaLM
Kelly Hammond,HR Manager,Human Resources,3,92113,8,San Francisco,ChatGPT
Jessica Hopkins,HR Manager,Human Resources,3,184475,13,Boston,ChatGPT
Jason Heath,Copywriter,Media & Marketing,1,121158,27,Chicago,Writer.com
Lisa Gentry,Lawyer,Legal,3,174322,27,Boston,DoNotPay
Bradley Baker,Radiologist,Healthcare,2,90239,17,Chicago,MedpaLM
Jennifer Tucker,Marketing Manager,Media & Marketing,4,81152,29,Remote,ChatGPT
Donald Hudson,Doctor,Healthcare,1,146463,30,Chicago,MedpaLM
Christy Castro,Customer Support Agent,Tech,3,90204,32,Boston,Perplexity AI
James Newman,Radiologist,Healthcare,3,74334,14,Boston,MedpaLM
Alicia Jordan DVM,Nurse,Healthcare,4,127429,6,Chicago,MedpaLM
Cory Young,Technical Recruiter,Media & Marketing,5,128758,11,Seattle,None
Cheryl Morton,Marketing Manager,Media & Marketing,3,192809,8,Remote,Scribe AI
Amber White,Customer Support Agent,Tech,4,70824,5,New York,Perplexity AI
Melanie Medina,Marketing Manager,Media & Marketing,3,98264,6,San Francisco,Writer.com
Kristine Gonzalez,Data Analyst,Media & Marketing,2,62934,22,Chicago,ChatGPT
Stephen Wiley,Customer Support Agent,Healthcare,2,56632,4,San Francisco,ChatGPT
Daniel Nelson,Paralegal,Legal,5,104575,33,San Francisco,Harvey
Joe Jimenez,Software Engineer,Tech,5,79421,20,New York,Claude
Leah Richardson,Teacher,Education,1,95472,19,New York,Google Gemini
Francisco Wilson,Software Engineer,Tech,1,66795,1,Austin,Github Copilot
Mr. William Dean,Marketing Manager,Media & Marketing,4,198021,22,Austin,Scribe AI
Ronald Hill,Teacher,Education,4,183724,27,Chicago,Google Gemini
Mackenzie Stanley,Customer Support Agent,Healthcare,5,193052,22,Boston,None
Nicole Wood,Data Analyst,Healthcare,3,132903,18,Remote,Github Copilot
Nathaniel Clark,Copywriter,Media & Marketing,2,159632,11,Seattle,ChatGPT
Maureen Giles,Lawyer,Legal,2,194902,11,New York,Harvey
Crystal Smith,Software Engineer,Tech,4,90649,13,Boston,Github Copilot
Sharon Orozco,HR Manager,Human Resources,5,43481,4,Chicago,Writer.com
William King,Doctor,Healthcare,5,124064,16,Austin,Claude
Paul Smith,Lawyer,Legal,2,161214,4,Austin,Harvey
John Lee,Software Engineer,Tech,4,144795,27,San Francisco,ChatGPT
Donna Bryant,Doctor,Healthcare,2,75732,17,Chicago,Claude
Diane Thomas,Customer Support Agent,Healthcare,2,41345,30,New York,None
George Snyder,Radiologist,Healthcare,1,173202,1,Remote,Claude
Jessica Woods,Technical Recruiter,Healthcare,2,158298,31,Remote,None
Brandi Brewer,Financial Analyst,Finance,5,133085,24,Seattle,None
Michael Scott,Software Engineer,Tech,5,85172,23,Boston,Github Copilot
William Richards,Financial Analyst,Healthcare,3,193930,1,New York,ChatGPT
Evan Mitchell,Nurse,Healthcare,4,139225,34,Remote,MedpaLM
David Snyder,Technical Recruiter,Human Resources,5,85428,27,San Francisco,ChatGPT
Angela Clark,Customer Support Agent,Media & Marketing,5,44407,33,Austin,Perplexity AI
Martin Cobb,Lawyer,Legal,5,76832,23,Seattle,Harvey
Ashley Yates,Doctor,Healthcare,3,167366,35,Remote,MedpaLM
Mr. Jordan Choi Jr.,Marketing Manager,Media & Marketing,1,186683,35,New York,Writer.com
Edwin Moore,Paralegal,Legal,1,131887,18,New York,DoNotPay
Joshua Watson,Lawyer,Legal,2,117106,28,Boston,Harvey
Jamie Williams,Financial Analyst,Healthcare,5,58076,11,Remote,None
Crystal Villa,Nurse,Healthcare,2,60597,20,San Francisco,Claude
Linda Leon,Data Analyst,Tech,4,138365,13,Seattle,Claude
Stephen Howe,Customer Support Agent,Tech,5,97028,2,Seattle,Perplexity AI
Patricia Norton,Marketing Manager,Media & Marketing,4,49038,0,San Francisco,ChatGPT
Nicholas Conley,Customer Support Agent,Healthcare,5,61523,8,Boston,ChatGPT
Deborah Greene,Paralegal,Legal,1,107396,30,San Francisco,Harvey
Ralph Sullivan,Teacher,Education,1,128389,14,New York,Claude
Lance Ingram,Technical Recruiter,Human Resources,5,183329,25,Austin,ChatGPT
Tammy Ewing,Copywriter,Media & Marketing,2,168789,0,Remote,ChatGPT
Michelle Small,Nurse,Healthcare,4,184161,25,Chicago,MedpaLM
Teresa Liu,Customer Support Agent,Healthcare,2,72602,26,Austin,None
Vincent Rogers,Lawyer,Legal,4,111052,15,San Francisco,Claude
Stephen Mccoy,HR Manager,Human Resources,2,78689,3,Seattle,Writer.com
Andrew Randall,Copywriter,Tech,1,132168,27,Chicago,Writer.com
Ashley Parsons,Software Engineer,Tech,5,144159,13,San Francisco,Claude
Rachel Banks,Doctor,Healthcare,1,188804,7,Austin,Claude
Derek Huffman,Nurse,Healthcare,2,100491,34,San Francisco,Claude
Brian Peterson,Doctor,Healthcare,2,101572,15,Austin,Claude
